Institution Name,Institution Type,Bank ID,Location,Contact Info,Licence
Allahabad Bank,Commerical Banks,73915,Agra,235-8924-03,Active 
Andhra Bank,Central Banks,66264,Amritsar,431-4372-62,Revoked
Axis Bank,Credit Unions,4287,Bangalore,869-4833-47,Supended 
Bank of Bahrain and Kuwait,Non-Banking Instituions,17725,Bhopal,581-2987-44,Active 
Bank of Baroda - Corporate Banking,Investment Entities,36382,Chandigarh,014-3250-04,Revoked
Bank of Baroda - Retail Banking,Insurance Companies,26728,Chennai,357-6211-83,Supended 
Bank of India,Mortgage Companies,13062,Coimbatore,276-2125-45,Active 
Bank of Maharashtra,Commerical Banks,50933,Darjeeling,452-1992-77,Revoked
Canara Bank,Central Banks,92492,Dehradun,681-1875-00,Supended 
Central Bank of India,Credit Unions,88379,Gangtok,575-6544-69,Active 
City Union Bank,Non-Banking Instituions,24689,Goa,886-6280-24,Revoked
Corporation Bank,Investment Entities,86115,Guwahati,065-4316-99,Supended 
Deutsche Bank,Insurance Companies,79389,Hyderabad,924-4451-28,Active 
Development Credit Bank,Mortgage Companies,44037,Imphal,055-7480-55,Revoked
Dhanlaxmi Bank,Commerical Banks,34021,Jaipur,845-0356-64,Supended 
Federal Bank,Central Banks,88844,Jaisalmer,407-2458-20,Active 
ICICI Bank,Credit Unions,53060,Jodhpur,446-8144-99,Revoked
IDBI Bank,Non-Banking Instituions,86145,Kanpur,701-8655-43,Supended 
Indian Bank,Investment Entities,94917,Kochi,997-6908-05,Active 
Indian Overseas Bank,Insurance Companies,15914,Kolkata,738-2388-10,Revoked
IndusInd Bank,Mortgage Companies,37152,Kullu,690-9462-86,Supended 
ING Vysya Bank,Non-Banking Instituions,73753,Leh,960-6317-62,Active 
Jammu and Kashmir Bank,Investment Entities,93618,Lucknow,933-0677-70,Revoked
Karnataka Bank Ltd,Commerical Banks,9098,Madurai,334-1272-83,Supended 
Karur Vysya Bank,Central Banks,95083,Mahabalipuram,044-8075-42,Active 
Kotak Bank,Credit Unions,35152,Mumbai,049-9095-35,Revoked
Laxmi Vilas Bank,Non-Banking Instituions,24734,Mysore,681-2237-86,Supended 
Oriental Bank of Commerce,Investment Entities,44137,Nagpur,946-9933-66,Active 
Punjab National Bank - Corporate Banking,Insurance Companies,26680,Nainital,953-0980-17,Revoked
Punjab National Bank - Retail Banking,Mortgage Companies,35923,New Delhi,186-3553-72,Supended 
Punjab & Sind Bank,Commerical Banks,88134,Ooty,241-2370-04,Active 
Shamrao Vitthal Co-operative Bank,Central Banks,53809,Puducherry,857-8385-51,Revoked
South Indian Bank,Credit Unions,7322,Pune,816-5005-96,Supended 
State Bank of Bikaner & Jaipur,Non-Banking Instituions,39182,Rameswaram,192-0949-13,Active 
State Bank of Hyderabad,Investment Entities,64266,Rishikesh,280-3939-81,Revoked
State Bank of India,Insurance Companies,54832,Srinagar,034-9558-74,Supended 
State Bank of Mysore,Mortgage Companies,12061,Shillong,024-6600-83,Active 
State Bank of Patiala,Commerical Banks,28576,Siliguri,762-3489-80,Revoked
State Bank of Travancore,Central Banks,46758,Surat,551-0291-27,Supended 
Syndicate Bank,Credit Unions,77625,Thiruvananthapuram,676-8199-82,Active 
Tamilnad Mercantile Bank Ltd.,Non-Banking Instituions,24038,Tirupati,276-5183-66,Revoked
UCO Bank,Investment Entities,96046,Udaipur,799-5339-08,Supended 
Union Bank of India,Insurance Companies,71108,Vadodara,462-8737-75,Active 
United Bank of India,Mortgage Companies,81567,Varanasi,376-0352-73,Revoked
Vijaya Bank,Investment Entities,17748,Vijayawada,668-7330-50,Supended 
Yes Bank Ltd,Insurance Companies,20291,Visakhapatnam,414-0152-13,Active 
State Bank of India,Mortgage Companies,37584,Wayanad,022-0439-18,Revoked
ICICI Bank,Central Banks,68436,Yercaud,053-8707-93,Supended 
Axis Bank,Commerical Banks,98820,Ziro,281-9621-87,Active 
Central Bank of India,Credit Unions,98744,Zuluk,182-6710-86,Suspended
